Commodity,Port,Time,Containerized Vessel SWT (Gen) (kg),Customs Containerized Vessel Value (Gen) ($US)
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2003,"41,950","192,600"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2003,"19,686","99,500"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2003,"20,876","110,200"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2003,"20,975","92,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2003,"19,500","73,020"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2003,"65,962","281,399"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2003,"39,000","134,490"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2003,"22,721","92,570"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2003,"40,661","145,230"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2004,"20,975","64,800"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2004,"41,949","117,840"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2004,"19,909","54,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2004,"19,567","66,475"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2004,"19,567","72,750"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2004,"78,840","320,200"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2005,"58,844","208,516"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2005,"19,710","75,210"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2005,"39,277","144,658"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2005,"19,567","73,500"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2005,463,"5,435"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2005,"20,975","73,100"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2005,"21,870","79,260"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2005,"38,510","154,465"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2005,"40,685","149,310"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2006,"61,315","225,746"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2006,"80,460","303,058"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2006,"18,800","74,525"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2006,"43,180","153,652"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2006,"18,800","70,475"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2006,"44,870","157,545"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2006,"17,961","67,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2007,"38,596","149,845"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2007,"18,886","66,820"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2007,"19,710","83,025"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2007,"20,250","87,075"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2007,"18,886","79,300"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2007,"97,174","419,840"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2008,"97,027","410,265"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2008,"57,120","244,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2008,"60,162","254,875"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2008,"23,891","83,430"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2008,"27,760","154,032"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2009,"39,748","165,365"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2009,"58,940","249,025"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2009,"117,170","489,815"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2009,"19,520","82,165"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2009,"103,226","397,086"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2009,"20,226","85,050"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2009,"23,790","93,967"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2009,"64,077","244,600"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2009,"43,145","162,405"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2010,"44,547","191,861"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2010,"58,030","238,386"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2010,"38,320","165,394"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2010,"38,400","173,479"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",5/1/2010,"19,520","82,215"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2010,"19,520","82,215"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2010,"50,373","234,892"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2010,"6,684","71,572"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2010,"15,859","138,587"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2010,"21,336","163,113"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2011,"7,856","95,881"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2011,"14,715","187,663"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2011,"8,437","109,181"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2011,"6,734","76,250"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",1/1/2012,"8,408","40,888"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2012,"10,531","54,408"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2012,"8,489","101,333"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2012,"2,842","23,223"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2012,"8,344","80,306"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",9/1/2012,"17,080","196,286"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",11/1/2012,"19,086","223,239"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2012,"10,009","47,486"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2013,"7,869","101,802"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2013,"8,419","109,733"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2013,"8,203","104,443"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2013,"8,930","116,941"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2015,"7,453","107,861"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",3/1/2018,"1,262","16,781"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2018,"21,698","154,487"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2019,"21,582","153,750"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",10/1/2021,"2,549","14,289"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",12/1/2021,"5,157","27,465"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",4/1/2022,"10,102","53,255"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",6/1/2022,"2,569","13,135"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",7/1/2022,"11,515","57,685"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",2/1/2023,"4,035","20,700"
02 Meat And Edible Meat Offal,"Boston, MA (Port)",8/1/2023,"5,492","33,657"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2003,"327,504","705,125"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2003,"299,414","918,413"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2003,"238,789","843,011"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2003,"336,031","1,174,102"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2003,"307,630","1,196,596"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2003,"596,407","2,362,973"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2003,"206,058","792,435"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2003,"473,308","992,220"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2003,"531,376","2,056,533"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2003,"724,053","2,226,581"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2003,"807,513","2,307,336"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2003,"1,259,267","4,152,223"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2004,"1,392,322","4,872,534"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2004,"806,445","2,671,668"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2004,"341,485","1,033,766"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2004,"169,326","379,521"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2004,"279,292","668,463"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2004,"150,839","510,733"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2004,"280,359","923,221"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2004,"353,327","1,767,776"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2004,"321,896","1,087,560"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2004,"660,389","2,045,358"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2004,"194,301","859,130"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2004,"492,339","1,622,779"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2005,"336,498","1,177,505"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2005,"37,653","213,097"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2005,"314,638","605,661"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2005,"405,289","1,200,554"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2005,"352,293","875,941"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2005,"333,787","1,048,778"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2005,"323,218","1,302,469"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2005,"130,180","433,823"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2005,"111,685","395,732"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2005,"77,497","148,566"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2005,"75,058","147,660"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2006,"142,395","571,153"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2006,"20,634","115,940"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2006,"44,640","159,646"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2006,"22,103","50,698"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2006,"19,447","50,610"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2006,"57,736","286,321"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2006,"60,110","202,045"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2006,"37,929","153,520"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2006,"146,959","813,091"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2006,"208,979","1,051,036"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2006,"171,920","752,993"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2006,"231,810","871,534"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2007,"273,833","1,219,885"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2007,"158,260","667,411"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2007,"292,467","1,463,323"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2007,"694,810","2,953,568"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2007,"254,890","985,837"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2007,"76,459","356,328"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2007,"173,481","567,286"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2007,"447,391","1,583,619"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2007,"231,682","865,198"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2007,"369,024","1,369,025"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2007,"254,851","848,173"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2007,"912,232","2,901,075"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2008,"859,330","2,293,734"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2008,"766,791","2,285,686"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2008,"599,712","1,939,703"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2008,"418,208","1,432,542"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2008,"591,673","1,792,259"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2008,"219,675","1,078,746"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2008,"213,125","1,051,435"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2008,"114,792","638,973"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2008,"153,444","746,487"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2008,"248,751","1,128,414"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2008,"155,674","834,415"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2008,"541,889","1,626,694"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2009,"436,322","1,509,664"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2009,"235,567","781,395"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2009,"197,488","883,913"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2009,"214,345","1,090,901"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2009,"176,236","803,677"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2009,"193,906","876,603"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2009,"310,855","1,350,584"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2009,"173,190","764,508"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2009,"232,551","1,037,758"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2009,"266,308","1,337,340"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2010,"23,700","52,790"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2010,"18,925","107,310"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2010,"24,000","55,150"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2010,"190,164","602,564"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2010,"23,453","99,868"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2011,"21,000","90,120"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2012,"18,780","99,649"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2012,"23,697","97,727"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2012,"105,527","420,500"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2012,"136,903","660,007"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2013,"339,051","1,548,916"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2013,"274,500","1,286,982"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2013,"705,790","3,438,652"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2013,"133,777","665,552"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2013,"378,750","1,687,386"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2013,"149,286","676,912"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2013,"255,877","1,167,973"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2013,"135,934","728,173"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2013,"19,051","62,410"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2013,"19,420","72,426"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2014,"279,967","1,257,742"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2014,"292,940","1,315,440"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2014,"1,145,873","4,957,191"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2014,"446,517","1,914,038"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2014,"272,355","1,266,692"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2014,"232,762","1,058,042"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2014,"58,606","258,475"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2014,"94,539","417,127"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2014,"273,157","1,285,386"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2014,"237,629","1,285,077"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2014,"647,023","3,664,750"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2014,"2,079,896","11,847,335"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2015,"3,627,229","21,532,938"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2015,"1,707,657","9,145,552"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2015,"2,485,192","13,275,850"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2015,"3,408,674","17,177,291"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2015,"3,022,105","14,720,423"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2015,"2,462,056","11,824,551"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2015,"2,500,540","11,886,794"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2015,"1,323,230","6,235,175"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2015,"998,514","4,521,875"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2015,"1,450,841","7,193,839"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2015,"750,491","3,492,569"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2015,"1,438,621","6,615,887"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2016,"1,029,387","4,420,603"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2016,"2,144,650","8,856,170"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2016,"2,069,703","8,271,400"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2016,"3,165,128","13,030,452"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2016,"1,841,808","7,906,584"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2016,"1,003,923","4,226,278"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2016,"962,579","4,154,820"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2016,"466,258","2,014,348"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2016,"166,535","675,862"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2016,"312,991","1,445,773"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2016,"372,336","1,705,857"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2016,"329,831","1,523,145"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2017,"691,928","3,015,306"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2017,"638,702","2,478,914"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2017,"1,089,155","4,083,001"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2017,"1,461,002","5,063,701"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2017,"875,387","3,797,101"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2017,"899,070","3,343,558"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2017,"1,650,406","7,075,246"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2017,"774,291","3,351,015"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2017,"816,591","3,393,368"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2017,"1,012,456","3,668,532"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2017,"1,008,972","3,893,069"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2017,"1,146,668","3,772,907"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2018,"1,651,200","6,537,441"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2018,"883,381","3,227,871"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2018,"1,100,531","4,624,476"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2018,"1,748,669","6,339,091"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2018,"1,583,024","5,444,098"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2018,"2,566,323","7,495,154"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2018,"2,141,613","6,794,342"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2018,"1,971,213","6,832,209"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2018,"1,172,376","4,101,405"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2018,"734,535","2,759,624"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2018,"611,870","2,335,735"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2018,"1,227,759","4,466,768"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2019,"1,508,174","5,840,239"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2019,"1,112,563","3,954,247"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2019,"1,575,582","5,969,250"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2019,"1,215,330","5,112,610"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2019,"1,495,118","5,959,580"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2019,"1,425,071","5,438,072"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2019,"2,066,683","6,975,293"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2019,"1,577,802","5,445,660"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2019,"533,503","2,337,096"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2019,"641,285","2,446,999"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2019,"319,904","1,602,286"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2019,"434,234","1,801,160"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2020,"641,667","3,123,122"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2020,"1,715,801","7,379,394"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2020,"1,581,451","5,534,777"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2020,"1,866,273","8,809,355"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2020,"1,580,516","9,091,543"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2020,"786,355","3,570,076"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2020,"2,035,485","9,765,859"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2020,"834,248","2,652,452"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2020,"1,476,065","5,605,633"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2020,"1,453,759","5,685,312"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2020,"1,468,719","6,172,988"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2020,"1,491,907","5,690,057"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2021,"1,957,160","7,732,287"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2021,"876,480","3,362,236"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2021,"1,364,433","5,975,210"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2021,"1,654,601","7,200,105"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2021,"1,574,601","6,646,925"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2021,"2,235,572","8,776,966"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2021,"2,273,655","9,292,738"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2021,"1,930,490","8,080,143"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2021,"1,318,015","4,494,555"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2021,"1,466,786","5,647,962"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",11/1/2021,"3,006,841","15,611,804"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",12/1/2021,"2,819,193","14,582,952"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",1/1/2022,"2,142,151","8,173,365"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",2/1/2022,"2,725,367","12,579,668"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",3/1/2022,"3,811,574","17,806,529"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",4/1/2022,"1,403,364","7,153,692"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",5/1/2022,"1,577,698","3,540,849"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",6/1/2022,"1,417,083","4,837,496"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",7/1/2022,"1,131,665","5,080,848"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",8/1/2022,"1,457,441","6,774,307"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",9/1/2022,"1,154,560","4,872,869"
02 Meat And Edible Meat Offal,"Charleston, SC (Port)",10/1/2022,"990,334","4,209,924"
